"Research Date","Master ID","Venue Name","Venue Type","Website","Gigs / Shows / What’s On","Menu","Contact Us","Instagram","Facebook","About Us","Location","Street Address","Suburb / City / Town","State","Postcode","Phone","Email","Venue Capacity","Verification Notes"
"2026-08-01","Aggits_001","The Duke of Wellington","Pub and rooftop bar","https://dukeofwellington.com.au/","https://dukeofwellington.com.au/whats-on/","https://dukeofwellington.com.au/menu/","https://dukeofwellington.com.au/contact/","https://www.instagram.com/thedukemelbourne","https://www.facebook.com/thedukeofwellingtonmelbourne","https://dukeofwellington.com.au/history/","Melbourne CBD","146 Flinders Street","Melbourne","VIC","3000","(03) 9810 0066","info@dukeofwellington.com.au","1150","All required destinations verified on official website."
"2026-08-01","Aggits_002","Imperial Hotel Bourke Street","Pub, sports bar and rooftop","https://bourkestreetimperial.com/","https://bourkestreetimperial.com/whats-on/","https://bourkestreetimperial.com/menu/","https://bourkestreetimperial.com/contact/","https://www.instagram.com/imperialbourkest/","https://www.facebook.com/BourkeSt.Imperial/","https://bourkestreetimperial.com/history/","Melbourne CBD","2-8 Bourke Street","Melbourne","VIC","3000","(03) 9810 0062","info@bourkestreetimperial.com","","All required destinations verified on official website."
"2026-08-01","Aggits_003","College Lawn Hotel","Pub and beer garden","https://collegelawnhotel.com.au/","https://collegelawnhotel.com.au/whats-on/","https://collegelawnhotel.com.au/eat-drink/","https://collegelawnhotel.com.au/contact/","https://www.instagram.com/collegelawn/","https://www.facebook.com/CollegeLawnHotel","https://collegelawnhotel.com.au/history/","Prahran","36 Greville Street","Prahran","VIC","3181","(03) 9810 0074","info@collegelawnhotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_004","The Hawthorn Hotel","Pub, beer garden and live entertainment venue","https://thehawthornhotel.com.au/","https://thehawthornhotel.com.au/whats-on/","https://thehawthornhotel.com.au/eat-drink/","https://thehawthornhotel.com.au/contact/","https://www.instagram.com/thehawthorn/","https://www.facebook.com/TheHawthornHotel/","https://thehawthornhotel.com.au/history/","Hawthorn","481 Burwood Road","Hawthorn","VIC","3122","(03) 9810 0022","admin@thehawthornhotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_005","The Auburn Hotel","Pub and beer garden","https://theauburnhotel.com.au/","https://theauburnhotel.com.au/whats-on/","https://theauburnhotel.com.au/menu/","https://theauburnhotel.com.au/contact/","https://www.instagram.com/theauburnhotel/","https://www.facebook.com/TheAuburnHotel/","https://theauburnhotel.com.au/history/","Hawthorn East","85 Auburn Road","Hawthorn East","VIC","3122","(03) 9810 0032","info@auburnhotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_006","The Bridge Hotel","Pub and live entertainment venue","https://thebridgehotel.com.au/","https://thebridgehotel.com.au/its-on-at-the-bridge/","https://thebridgehotel.com.au/food-drinks-for-thought/","https://thebridgehotel.com.au/get-in-touch/","https://www.instagram.com/bridgehotel","https://www.facebook.com/bridgehotelmelbourne","https://thebridgehotel.com.au/history/","Richmond","642 Bridge Road","Richmond","VIC","3121","(03) 8840 4864","info@thebridgehotel.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_007","Melbourne Public","Bar, restaurant and live music venue","https://melbournepublic.com.au/","https://melbournepublic.com.au/whats-on/","https://melbournepublic.com.au/eat-drink/","https://melbournepublic.com.au/contact/","https://www.instagram.com/melbournepublic/","https://www.facebook.com/MelbournePublic","https://melbournepublic.com.au/history/","South Wharf","11 Dukes Walk","South Wharf","VIC","3006","(03) 9268 7600","info@melbournepublic.com.au","1000","All required destinations verified on official website."
"2026-08-01","Aggits_008","Hotel Esplanade (The Espy)","Pub, live music and entertainment venue","https://hotelesplanade.com.au/","https://hotelesplanade.com.au/whats-on/","https://www.meandu.app/espy/menu","https://hotelesplanade.com.au/contact/","https://www.instagram.com/hotelesplanadestkilda/","https://www.facebook.com/hotelesplanadestkilda/","https://hotelesplanade.com.au/espy-story/","St Kilda","11 The Esplanade","St Kilda","VIC","3182","(03) 9534 0211","info@hotelesplanade.com.au","","All required destinations verified on official website."
"2026-08-01","Aggits_009","Prahran Hotel","Pub and live music venue","https://prahranhotel.com/","https://prahranhotel.com/the-perfect-place-to-play/","https://prahranhotel.com/food-drinks-with-a-twist/","https://prahranhotel.com/get-in-touch/","https://www.instagram.com/prahranhotel/","https://www.facebook.com/pages/Prahran-Hotel/144596098954618","https://prahranhotel.com/history/","Windsor","82 High Street","Windsor","VIC","3181","(03) 9529 2168","info@prahranhotel.com","420","All required destinations verified on official website."
"2026-08-01","Aggits_010","Richmond Club Hotel","Pub, rooftop bar and live music venue","https://richmondclubhotel.com.au/","https://richmondclubhotel.com.au/whats-on/","https://richmondclubhotel.com.au/food-drink/","https://richmondclubhotel.com.au/contact/","https://www.instagram.com/richmondclubhotel/","https://www.facebook.com/richmondclubhotel","https://richmondclubhotel.com.au/history/","Richmond","100 Swan Street","Richmond","VIC","3121","(03) 9428 6722","info@richmondclubhotel.com.au","","All required destinations verified on official website."
